#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 231  8.0  9.5  3.96 11.43  8.42 257 1017.1   5.1   8.3 999.0 99.0 99.00
2009 01 01 00 50 253  9.9 11.5  3.51 10.00  8.20 234 1017.0   5.6   8.3 999.0 99.0 99.00
2009 01 01 01 20 283  7.0 10.1 99.00 99.00 99.00 999 1017.2   4.0   8.3 999.0 99.0 99.00
2009 01 01 01 50 339  1.9  3.3  3.77 11.43  8.57 274 1017.1   3.9   8.3 999.0 99.0 99.00
2009 01 01 02 20 174  0.7  2.4 99.00 99.00 99.00 999 1016.7   4.5   8.3 999.0 99.0 99.00
2009 01 01 02 50 223  8.2 10.1  3.91 11.43  8.90 249 1016.2   5.8   8.2 999.0 99.0 99.00
2009 01 01 03 20 228  7.9  9.5 99.00 99.00 99.00 999 1016.1   5.9   8.1 999.0 99.0 99.00
2009 01 01 03 50 228  7.6 10.3  3.80 11.43  8.43 247 1016.1   5.9   8.1 999.0 99.0 99.00
2009 01 01 04 20 191  7.0 10.3 99.00 99.00 99.00 999 1015.9   5.0   8.1 999.0 99.0 99.00
2009 01 01 04 50 224  6.5  8.6  3.17 12.12  8.13 246 1015.8   4.0   8.0 999.0 99.0 99.00
2009 01 01 05 20 235  4.5  6.6 99.00 99.00 99.00 999 1015.7   3.3   8.0 999.0 99.0 99.00
2009 01 01 05 50 243  2.6  5.0  3.30 11.43  8.70 247 1015.4   3.4   8.0 999.0 99.0 99.00
2009 01 01 06 20 185  5.7  7.2 99.00 99.00 99.00 999 1014.8   3.2   7.9 999.0 99.0 99.00
2009 01 01 06 50 176  4.7  5.8  3.42 10.81  8.82 253 1014.4   2.9   7.9 999.0 99.0 99.00
2009 01 01 07 20 166  4.8  6.9 99.00 99.00 99.00 999 1013.6   2.7   7.9 999.0 99.0 99.00
2009 01 01 07 50 137  3.9  5.9  3.10 11.43  8.74 254 1013.0   2.6   7.8 999.0 99.0 99.00
2009 01 01 08 20 123  5.0  6.5 99.00 99.00 99.00 999 1012.2   2.5   7.8 999.0 99.0 99.00
2009 01 01 08 50 116  6.9  9.3  3.26 11.43  8.73 261 1011.3   2.5   7.8 999.0 99.0 99.00
2009 01 01 09 20 106  6.8  8.9 99.00 99.00 99.00 999 1010.6   2.0   7.8 999.0 99.0 99.00
2009 01 01 09 50 113  6.3  8.2  3.05 11.43  8.39 264 1009.7   1.9   7.8 999.0 99.0 99.00
2009 01 01 10 20 110  7.9 10.7 99.00 99.00 99.00 999 1008.9   1.7   7.9 999.0 99.0 99.00
2009 01 01 10 50 119  9.0 11.1  2.56 11.43  7.76 268 1008.0   1.7   7.9 999.0 99.0 99.00
2009 01 01 11 20 123  9.4 11.4 99.00 99.00 99.00 999 1006.9   2.0   7.9 999.0 99.0 99.00
2009 01 01 11 50 115 10.0 13.0  2.55 10.81  7.42 270 1005.9   2.0   7.9 999.0 99.0 99.00
2009 01 01 12 20 117  9.5 11.8 99.00 99.00 99.00 999 1004.9   2.1   7.8 999.0 99.0 99.00
2009 01 01 12 50 109  8.4 10.4  2.53 11.43  7.61 265 1003.7   2.0   7.9 999.0 99.0 99.00
2009 01 01 13 20 105  7.0  8.9 99.00 99.00 99.00 999 1002.6   1.5   8.0 999.0 99.0 99.00
2009 01 01 13 50 114  8.2 10.0  2.38 11.43  7.88 263 1000.9   2.2   8.0 999.0 99.0 99.00
2009 01 01 14 20 120  6.9  8.6 99.00 99.00 99.00 999 1000.1   2.4   8.0 999.0 99.0 99.00
2009 01 01 14 50 124  7.6  9.3  1.96 10.81  7.52 248  999.9   2.4   8.0 999.0 99.0 99.00
2009 01 01 15 20 124  7.5  9.8 99.00 99.00 99.00 999  999.4   3.0   8.0 999.0 99.0 99.00
2009 01 01 15 50 124  7.0  8.6  1.85 10.81  6.95 247  999.0   3.2   8.0 999.0 99.0 99.00
2009 01 01 16 20  99  6.8  8.6 99.00 99.00 99.00 999  998.8   3.7   8.0 999.0 99.0 99.00
2009 01 01 16 50  82  6.6  8.2  2.13 10.81  7.84 261  999.0   3.9   8.0 999.0 99.0 99.00
2009 01 01 17 20  78  4.7  5.9 99.00 99.00 99.00 999  999.5   4.0   8.0 999.0 99.0 99.00
2009 01 01 17 50 358  0.6  1.7  2.14 10.81  7.93 277 1000.4   4.2   7.9 999.0 99.0 99.00
2009 01 01 18 20 331  5.1  6.8 99.00 99.00 99.00 999 1001.0   4.1   7.9 999.0 99.0 99.00
2009 01 01 18 50 328  5.4  6.5  1.95 10.81  7.82 282 1001.7   3.8   7.8 999.0 99.0 99.00
2009 01 01 19 20 311  4.5  5.6 99.00 99.00 99.00 999 1002.0   4.3   7.8 999.0 99.0 99.00
2009 01 01 19 50 323  5.5  6.9  2.06 10.00  7.98 286 1002.2   4.0   7.8 999.0 99.0 99.00
2009 01 01 20 20 327  4.8  5.7 99.00 99.00 99.00 999 1002.4   4.4   7.8 999.0 99.0 99.00
2009 01 01 20 50 311  5.5  6.9  2.02 10.00  7.90 286 1002.3   5.2   7.8 999.0 99.0 99.00
2009 01 01 21 20 309  6.1  7.1 99.00 99.00 99.00 999 1002.4   5.5   7.8 999.0 99.0 99.00
2009 01 01 21 50 313  5.8  7.3  1.82 10.00  7.63 294 1002.4   5.7   7.9 999.0 99.0 99.00
2009 01 01 22 20 325  6.4  7.6 99.00 99.00 99.00 999 1002.2   5.7   7.9 999.0 99.0 99.00
2009 01 01 22 50 311  6.7  9.2  2.04  9.09  7.69 255 1002.2   5.8   7.9 999.0 99.0 99.00
2009 01 01 23 20 311  8.0  9.9 99.00 99.00 99.00 999 1002.3   5.8   8.0 999.0 99.0 99.00
2009 01 01 23 50 315  7.2  9.3  2.04 10.00  6.49 295 1002.6   5.9   8.1 999.0 99.0 99.00
2009 01 02 00 20 315  6.9  8.5 99.00 99.00 99.00 999 1002.7   5.8   8.1 999.0 99.0 99.00
2009 01 02 00 50 315  6.4  7.9  2.16 10.00  7.08 270 1002.7   5.8   8.2 999.0 99.0 99.00
2009 01 02 01 20 312  5.9  7.2 99.00 99.00 99.00 999 1002.8   5.9   8.2 999.0 99.0 99.00
2009 01 02 01 50 352  3.2  4.4  1.95 10.00  6.99 270 1002.5   5.4   8.2 999.0 99.0 99.00
2009 01 02 02 20  18  3.4  4.3 99.00 99.00 99.00 999 1002.2   5.0   8.2 999.0 99.0 99.00
2009 01 02 02 50  21  3.6  4.8  2.03  9.09  7.42 247 1002.5   4.8   8.1 999.0 99.0 99.00
2009 01 02 03 20   7  3.6  4.4 99.00 99.00 99.00 999 1002.4   4.9   8.1 999.0 99.0 99.00
2009 01 02 03 50  24  2.8  3.8  2.12  9.09  7.82 245 1001.9   4.8   8.1 999.0 99.0 99.00
2009 01 02 04 20  47  1.6  2.8 99.00 99.00 99.00 999 1001.7   4.4   8.1 999.0 99.0 99.00
